cpu_name,passmark_score,passmark_rank,passmark_value
AMD EPYC 7571,27445,382,
AMD EPYC 7573X,69432,53,13.23
AMD EPYC 75F3,68505,54,12.82
AMD EPYC 7601,34079,258,103.29
AMD EPYC 7642,58248,95,61.31
AMD EPYC 7643,76050,43,51.59
AMD EPYC 7662,72298,47,18.07
AMD EPYC 7663,82087,32,
AMD EPYC 7702,70107,50,50.11
AMD EPYC 7702P,63300,68,40.55
AMD EPYC 7713,82666,30,52.46
AMD EPYC 7713P,81201,35,45.11
AMD EPYC 7742,69663,51,41.27
AMD EPYC 7763,84706,25,56.85
AMD EPYC 7773X,91491,21,45.59
AMD EPYC 7B12,66044,62,
AMD EPYC 7B13,77460,39,
AMD EPYC 7C13,70474,49,
AMD EPYC 7D12,43032,186,
AMD EPYC 7F32,23453,504,9.51
AMD EPYC 7F52,40251,204,23.6
AMD EPYC 7F72,52597,124,55.87
AMD EPYC 7H12,69633,52,39.98
AMD EPYC 7J13,84786,24,
AMD EPYC 7K62,58203,98,
AMD EPYC 7R12,48934,141,
AMD EPYC 7R13 64-Core,82158,31,
AMD EPYC 7R32,64727,67,
AMD EPYC 7T83,81757,33,
AMD EPYC 7V13,82878,29,
AMD EPYC 8024P,20556,624,
AMD EPYC 8124P,36470,231,
AMD EPYC 8224P,44990,170,
AMD EPYC 8324P,57127,106,
AMD EPYC 8434P,66490,61,
AMD EPYC 8534P,71900,48,
AMD EPYC 9124,43963,178,40.15
AMD EPYC 9174F,55485,112,24.39
AMD EPYC 9184X,50344,134,12.75
AMD EPYC 9224,42448,187,21.77
AMD EPYC 9254,66708,58,27.33
AMD EPYC 9274F,73463,46,28.81
AMD EPYC 9334,64841,66,27.59
AMD EPYC 9354,67842,56,23.43
AMD EPYC 9354P,76605,41,30.76
AMD EPYC 9374F,79826,38,22.84
AMD EPYC 9454,95495,16,25.47
AMD EPYC 9454P,95891,15,27.79
AMD EPYC 9474F,105213,11,26.64
AMD EPYC 9534,93884,18,26.83
AMD EPYC 9554,111794,8,38.56
AMD EPYC 9554P,110790,9,24.9
